,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Longyearbyen,SJ,78.2186,15.6401,30.04,64,75,3.44,broken clouds
1,Beringovskiy,RU,63.05,179.3167,35.98,96,100,5.75,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,20.7,69,99,0.89,overcast clouds
3,Busselton,AU,-33.65,115.3333,58.32,69,100,8.16,overcast clouds
4,Atuona,PF,-9.8,-139.0333,78.46,77,52,18.79,broken clouds
5,Nanortalik,GL,60.1432,-45.2371,32.32,77,97,3.76,overcast clouds
6,Kropotkin,RU,45.4375,40.5756,55.8,76,98,3.49,overcast clouds
7,Mukhen,RU,48.1,136.1,38.88,91,6,6.78,clear sky
8,Aswan,EG,24.0934,32.907,103.3,8,0,2.3,clear sky
9,Mar Del Plata,AR,-38.0023,-57.5575,61.95,38,0,12.66,clear sky
10,Kaitangata,NZ,-46.2817,169.8464,44.01,85,100,1.12,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,46.06,71,20,12.66,few clouds
12,Bethel,US,41.3712,-73.414,82.18,69,75,9.22,broken clouds
13,Sitka,US,57.0531,-135.33,51.69,50,40,8.05,scattered clouds
14,Nouadhibou,MR,20.931,-17.0347,80.58,47,99,19.57,overcast clouds
15,New Norfolk,AU,-42.7826,147.0587,59.92,71,100,1.99,overcast clouds
16,Jamestown,US,42.097,-79.2353,74.84,56,100,4.61,light rain
17,Cherskiy,RU,68.75,161.3,32.49,99,100,4.88,snow
18,Bengkulu,ID,-3.8004,102.2655,78.67,90,70,4.72,broken clouds
19,Khatanga,RU,71.9667,102.5,33.84,100,100,7.96,overcast clouds
20,Provideniya,RU,64.3833,-173.3,35.04,95,100,5.5,overcast clouds
21,Kavieng,PG,-2.5744,150.7967,81.37,73,23,8.55,few clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,78.76,94,78,3.0,broken clouds
23,Bykovo,RU,55.6361,38.0803,53.33,54,0,2.24,clear sky
24,Moron,AR,-34.6534,-58.6198,68.02,37,3,6.55,clear sky
25,Walvis Bay,NA,-22.9575,14.5053,58.15,77,0,0.0,clear sky
26,Salta,AR,-24.7859,-65.4117,66.79,62,75,8.05,broken clouds
27,Dongsheng,CN,39.8161,109.9776,45.34,22,0,2.57,clear sky
28,Geraldton,AU,-28.7667,114.6,55.81,94,75,12.66,broken clouds
29,Necochea,AR,-38.5473,-58.7368,55.78,54,4,15.68,clear sky
30,Yellowknife,CA,62.456,-114.3525,55.92,38,75,12.66,broken clouds
31,Georgetown,MY,5.4112,100.3354,85.95,80,20,4.61,few clouds
32,Castro,BR,-24.7911,-50.0119,69.13,60,100,4.38,overcast clouds
33,Kamaishi,JP,39.2667,141.8833,51.44,80,99,6.8,overcast clouds
34,Moose Factory,CA,51.2585,-80.6094,73.4,64,0,10.36,haze
35,Norman Wells,CA,65.282,-126.8329,37.44,75,75,24.16,broken clouds
36,Przhevalskoye,RU,55.5093,31.8482,43.39,98,77,5.35,broken clouds
37,San Pedro De Uraba,CO,8.2752,-76.3764,86.65,68,92,3.49,overcast clouds
38,Port Alfred,ZA,-33.5906,26.891,56.17,91,1,3.94,clear sky
39,Niimi,JP,34.9833,133.4667,51.4,52,100,3.69,overcast clouds
40,Westport,US,41.1415,-73.3579,80.44,86,100,1.01,overcast clouds
41,Effingham,US,32.3669,-81.3332,83.86,40,37,4.83,scattered clouds
42,Cleethorpes,GB,53.5605,-0.0323,65.12,85,3,8.46,clear sky
43,Fortuna,US,40.5982,-124.1573,68.94,80,0,12.66,clear sky
44,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,93,100,13.8,light snow
45,Guerrero Negro,MX,27.9769,-114.0611,77.49,39,100,11.79,overcast clouds
46,Gillette,US,44.2911,-105.5022,61.11,36,94,5.01,overcast clouds
47,Kapaa,US,22.0752,-159.319,77.32,83,75,16.11,broken clouds
48,Butaritari,KI,3.0707,172.7902,80.44,75,27,8.5,scattered clouds
49,Koslan,RU,63.4564,48.8989,48.16,93,97,1.66,light rain
50,Hilo,US,19.7297,-155.09,79.29,78,20,3.44,few clouds
51,Talnakh,RU,69.4865,88.3972,35.06,99,100,5.77,overcast clouds
52,Roma,US,43.2128,-75.4557,83.37,52,100,1.99,overcast clouds
53,Ancud,CL,-41.8697,-73.8203,54.75,67,0,3.51,clear sky
54,Manta,EC,-0.95,-80.7333,82.18,74,75,12.66,broken clouds
55,Terekli-Mekteb,RU,44.1671,45.8698,65.59,47,100,11.95,overcast clouds
56,Semey,KZ,50.4111,80.2275,63.88,60,100,0.38,overcast clouds
57,Carnarvon,AU,-24.8667,113.6333,64.29,50,0,17.13,clear sky
58,Flinders,AU,-34.5833,150.8552,68.25,92,86,4.0,overcast clouds
59,Ha Giang,VN,22.8333,104.9833,75.27,99,100,1.23,overcast clouds
60,Takoradi,GH,4.8845,-1.7554,80.62,83,100,7.4,light rain
61,Victoria,HK,22.2855,114.1577,75.96,94,100,18.01,light rain
62,Kenora,CA,49.8167,-94.4337,52.77,71,75,17.27,light rain
63,Miles City,US,46.4083,-105.8406,60.69,24,2,17.05,clear sky
64,Punta Arenas,CL,-53.15,-70.9167,50.11,71,40,20.71,scattered clouds
65,Pangnirtung,CA,66.1451,-65.7125,19.4,79,20,11.5,few clouds
66,Mataura,NZ,-46.1927,168.8643,42.48,92,100,2.62,overcast clouds
67,Lavrentiya,RU,65.5833,-171.0,30.15,97,96,6.29,overcast clouds
68,Broome,US,42.2506,-75.833,80.67,65,100,1.99,overcast clouds
69,Rikitea,PF,-23.1203,-134.9692,76.15,68,0,22.79,clear sky
